,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-08-26 01:01:22.625,0.14032250000000002,3.375,0.031715324014894186,0.021144500000000024,0.375,2.375,1661475683.0,0.05021818750000006
2022-08-26 01:03:22.750,0.139682,1.5,0.07230602904419015,0.028192999999999996,,,1661475804.75,
2022-08-26 01:16:13.750,0.19606700000000002,3.25,0.05038003645478173,0.04869600000000002,,,1661476574.25,
2022-08-26 01:16:25.375,0.3914935,3.375,0.07935670229661529,0.08521849999999997,,,1661476586.0,
2022-08-26 01:16:44.000,0.621787,1.75,0.15129614015311788,0.12302200000000002,1.5,2.875,1661476605.5,0.35368825000000004
2022-08-26 01:16:52.750,0.862707,2.125,0.2243728114244954,0.18261249999999996,,,1661476615.875,
2022-08-26 01:16:57.250,0.96145,1.375,0.3050441068376504,0.1346250000000001,0.875,2.0,1661476618.125,0.2692500000000002
2022-08-26 01:17:07.875,1.158799,1.625,0.3491040527915068,0.24732699999999996,0.375,1.625,1661476628.25,0.4019063749999999
2022-08-26 01:17:13.875,1.265803,2.0,0.2518572443608189,0.22426000000000013,1.25,2.625,1661476635.125,0.5886825000000003
2022-08-26 01:17:18.375,1.457385,1.625,0.5055640593118138,0.3998229999999998,0.875,2.125,1661476639.25,0.8496238749999996
2022-08-26 01:17:23.250,1.433136,2.25,0.34236721975433504,0.3447199999999999,1.25,2.625,1661476644.5,0.9048899999999998
2022-08-26 01:17:33.875,1.584351,1.875,0.205592553632842,0.178126,0.75,2.25,1661476654.625,0.4007835
2022-08-26 01:17:42.625,1.7554295,1.625,0.3828813502998152,0.2876934999999998,2.375,3.75,1661476665.0,1.0788506249999994
2022-08-26 01:17:48.250,1.867559,1.375,0.4640031568089267,0.2806445000000002,0.875,2.0,1661476669.125,0.5612890000000004
2022-08-26 01:18:19.125,1.9356775,1.625,0.5790032822229634,0.44743749999999993,1.375,2.625,1661476700.5,1.1745234374999998
2022-08-26 01:18:24.375,1.7357655,1.375,0.3636290708221992,0.19222249999999996,0.875,2.0,1661476705.25,0.3844449999999999
2022-08-26 01:18:29.375,2.0574185,2.75,0.3437483431655277,0.35304899999999995,1.25,2.625,1661476710.625,0.9267536249999999
2022-08-26 01:18:32.250,2.066389,1.0,0.3718166272079415,0.05510400000000004,0.625,1.625,1661476712.875,0.08954400000000007
2022-08-26 01:18:36.125,2.104193,1.25,0.5317038975408348,0.242842,1.125,2.25,1661476717.25,0.5463945
2022-08-26 01:18:40.625,2.1580155,1.375,0.4946557481702456,0.25821950000000005,0.75,2.0,1661476721.375,0.5164390000000001
2022-08-26 01:18:48.875,1.971559,1.5,0.5352872745533563,0.3133235000000001,0.625,1.875,1661476729.5,0.5874815625000002
2022-08-26 01:18:53.625,2.018974,1.5,0.5172282708630451,0.3370310000000001,1.625,2.875,1661476735.25,0.9689641250000003
2022-08-26 01:18:58.125,1.867759,1.375,0.21282958558845344,0.12686700000000006,,,1661476739.125,
2022-08-26 01:19:00.250,2.0792040000000003,1.125,0.39992378304265586,0.13968200000000008,0.75,1.75,1661476741.0,0.24444350000000015
2022-08-26 01:19:13.875,1.6050545,2.375,0.0835132546433961,0.06535650000000004,2.75,4.875,1661476756.625,0.3186129375000002
2022-08-26 01:19:25.250,1.888263,2.375,0.16379601844599279,0.18966050000000023,,,1661476768.25,
2022-08-26 01:19:29.875,2.0529335,1.625,0.31409318770357864,0.2210565,0.875,2.125,1661476770.75,0.4697450625
2022-08-26 01:19:34.375,2.535567,1.625,0.9304826998932718,0.6191119999999999,1.625,2.875,1661476776.0,1.7799469999999997
2022-08-26 01:19:40.750,2.541334,1.625,0.7025463180820779,0.5081090000000001,1.25,2.5,1661476782.0,1.2702725000000004
2022-08-26 01:19:45.875,2.4990449999999997,2.25,0.2669799955928127,0.3274195,0.625,2.5,1661476786.5,0.8185487499999999
2022-08-26 01:20:06.250,2.154811,1.75,0.30564508172347615,0.2729560000000002,1.625,2.875,1661476807.875,0.7847485000000005
2022-08-26 01:20:25.875,1.9414440000000002,2.0,0.18203482305568208,0.13519650000000016,2.5,3.625,1661476828.375,0.4900873125000006
2022-08-26 01:20:33.500,1.933114,2.0,0.07019163919809301,0.06151100000000009,1.375,3.0,1661476834.875,0.18453300000000028
2022-08-26 01:20:46.875,2.1189295,2.625,0.23604384911405418,0.32934149999999995,2.625,4.5,1661476849.5,1.4820367499999998
2022-08-26 01:21:23.500,2.04973,1.875,0.13747728346616483,0.05958949999999974,0.25,2.0,1661476883.75,0.11917899999999948
2022-08-26 01:21:40.250,2.9992520000000003,2.0,0.5190132866269472,0.4912369999999999,1.125,2.75,1661476901.375,1.3509017499999998
2022-08-26 01:21:53.750,2.272222,3.0,0.05706646580654606,0.11148900000000017,,,1661476914.75,
2022-08-26 01:22:04.375,2.8506,2.875,0.144900595953807,0.5630000000000002,,,1661476925.75,
2022-08-26 01:22:07.375,3.201086,1.625,0.5569231666596224,0.342797,1.0,2.375,1661476928.375,0.814142875
2022-08-26 01:22:18.375,3.5910245000000005,3.375,0.9143766658559827,0.9428995000000007,1.875,3.375,1661476940.25,3.182285812500002
2022-08-26 01:22:25.625,3.168408,2.0,0.24767660108063794,0.23451149999999954,0.375,2.125,1661476946.0,0.498336937499999
2022-08-26 01:22:50.875,2.7828939999999998,2.625,0.3291081819203505,0.38636800000000004,,,1661476972.875,
2022-08-26 01:22:54.750,3.597432,1.875,0.9162266767268399,0.8113344999999996,,,1661476976.25,
2022-08-26 01:22:57.625,3.7697909999999997,1.375,0.58058168173309,0.19670699999999997,0.5,1.75,1661476978.125,0.34423724999999994
2022-08-26 01:23:08.000,3.588461,2.125,0.4401264733464423,0.3985415000000003,0.75,2.5,1661476988.75,0.9963537500000008
2022-08-26 01:23:14.750,3.8601360000000002,1.75,1.1726921105185646,0.9505880000000002,1.375,2.625,1661476996.125,2.4952935000000007
2022-08-26 01:23:19.875,3.3411345,1.25,0.49834333575394396,0.24732649999999978,0.875,1.875,1661477000.75,0.4637371874999996
