TTO,IBI,TIME
68.578125,0.578125,1661475650
69.15625,0.578125,
69.640625,0.484375,
70.25,0.609375,
70.84375,0.59375,
71.4375,0.59375,
71.984375,0.546875,
102.296875,0.546875,
102.859375,0.5625,
103.421875,0.5625,
103.984375,0.5625,
175.359375,0.53125,
175.90625,0.546875,
176.453125,0.546875,
177.03125,0.578125,
177.59375,0.5625,
178.140625,0.546875,
178.703125,0.5625,
179.265625,0.5625,
179.875,0.609375,
180.46875,0.59375,
181.046875,0.578125,
181.640625,0.59375,
182.234375,0.59375,
182.8125,0.578125,
183.40625,0.59375,
183.953125,0.546875,
184.53125,0.578125,
185.09375,0.5625,
185.65625,0.5625,
186.21875,0.5625,
186.765625,0.546875,
187.328125,0.5625,
187.890625,0.5625,
188.484375,0.59375,
189.046875,0.5625,
189.59375,0.546875,
190.25,0.65625,
239.234375,0.5625,
277.25,0.5625,
293.515625,0.5,
294.015625,0.5,
294.515625,0.5,
312.53125,0.640625,
319.453125,0.5625,
319.984375,0.53125,
320.578125,0.59375,
321.15625,0.578125,
321.75,0.59375,
322.328125,0.578125,
322.90625,0.578125,
323.5,0.59375,
324.09375,0.59375,
324.671875,0.578125,
325.25,0.578125,
395.34375,0.484375,
395.828125,0.484375,
396.296875,0.46875,
396.734375,0.4375,
404.5625,0.546875,
407.859375,0.515625,
408.40625,0.546875,
408.96875,0.5625,
409.546875,0.578125,
410.140625,0.59375,
410.734375,0.59375,
411.359375,0.625,
411.9375,0.578125,
412.5,0.5625,
413.109375,0.609375,
413.703125,0.59375,
414.296875,0.59375,
434.140625,0.53125,
434.6875,0.546875,
435.234375,0.546875,
435.78125,0.546875,
436.34375,0.5625,
441.609375,0.515625,
442.15625,0.546875,
442.671875,0.515625,
443.203125,0.53125,
443.703125,0.5,
444.25,0.546875,
444.796875,0.546875,
445.328125,0.53125,
445.875,0.546875,
446.40625,0.53125,
446.953125,0.546875,
447.5,0.546875,
474.75,0.53125,
475.28125,0.53125,
475.796875,0.515625,
476.34375,0.546875,
476.859375,0.515625,
516.78125,0.515625,
517.28125,0.5,
517.796875,0.515625,
518.265625,0.46875,
518.8125,0.546875,
519.328125,0.515625,
519.828125,0.5,
520.328125,0.5,
520.84375,0.515625,
523.546875,0.515625,
524.0625,0.515625,
524.515625,0.453125,
525.046875,0.53125,
525.609375,0.5625,
539.90625,0.5625,
558.65625,0.4375,
565.328125,0.46875,
565.8125,0.484375,
572.59375,0.421875,
573.109375,0.515625,
573.59375,0.484375,
574.046875,0.453125,
574.5625,0.515625,
587.46875,0.515625,
587.984375,0.515625,
588.484375,0.5,
589,0.515625,
589.484375,0.484375,
590,0.515625,
590.5,0.5,
590.921875,0.421875,
598.84375,0.453125,
599.34375,0.5,
599.8125,0.46875,
600.265625,0.453125,
600.75,0.484375,
601.28125,0.53125,
601.75,0.46875,
607.578125,0.578125,
612.421875,0.5,
612.921875,0.5,
613.34375,0.421875,
613.828125,0.484375,
614.296875,0.46875,
614.8125,0.515625,
615.296875,0.484375,
640.640625,0.53125,
650.125,0.484375,
650.59375,0.46875,
651.109375,0.515625,
651.5,0.390625,
652,0.5,
652.53125,0.53125,
653.015625,0.484375,
653.5,0.484375,
653.984375,0.484375,
654.375,0.390625,
656.859375,0.484375,
657.34375,0.484375,
657.828125,0.484375,
686.640625,0.53125,
687.140625,0.5,
687.640625,0.5,
693.90625,0.515625,
694.375,0.46875,
694.875,0.5,
695.328125,0.453125,
695.828125,0.5,
696.28125,0.453125,
696.765625,0.484375,
697.25,0.484375,
699.625,0.46875,
700.140625,0.515625,
702.875,0.4375,
703.40625,0.53125,
706.265625,0.515625,
725.34375,0.5,
725.78125,0.4375,
730.53125,0.5,
737.484375,0.40625,
738.046875,0.5625,
738.5,0.453125,
738.96875,0.46875,
739.359375,0.390625,
741.8125,0.546875,
742.28125,0.46875,
742.71875,0.4375,
743.1875,0.46875,
743.703125,0.515625,
751.953125,0.46875,
752.40625,0.453125,
777.046875,0.46875,
777.515625,0.46875,
778,0.484375,
778.5,0.5,
779.015625,0.515625,
782.296875,0.40625,
782.875,0.578125,
783.296875,0.421875,
783.859375,0.5625,
787.640625,0.453125,
788.078125,0.4375,
788.484375,0.40625,
803.25,0.390625,
803.75,0.5,
804.25,0.5,
804.625,0.375,
822.421875,0.546875,
840.296875,0.421875,
840.734375,0.4375,
841.171875,0.4375,
841.578125,0.40625,
842.03125,0.453125,
842.46875,0.4375,
842.921875,0.453125,
901.34375,0.46875,
901.75,0.40625,
904.25,0.390625,
1174.40625,0.515625,
1174.828125,0.421875,
1181.3125,0.390625,
1185.828125,0.609375,
1186.3125,0.484375,
1186.75,0.4375,
1239.8125,0.46875,
1240.34375,0.53125,
1243.671875,0.609375,
1280.6875,0.484375,
1281.203125,0.515625,
1281.625,0.421875,
1281.984375,0.359375,
1284.359375,0.375,
1290.6875,0.484375,
1291.109375,0.421875,
1324.421875,0.5,
1324.84375,0.421875,
1325.28125,0.4375,
1325.78125,0.5,
1326.171875,0.390625,
1326.671875,0.5,
1327.15625,0.484375,
1344.28125,0.390625,
1344.75,0.46875,
1345.1875,0.4375,
1350.78125,0.359375,
1383.140625,0.46875,
1393.453125,0.4375,
1397.84375,0.390625,
1398.25,0.40625,
1422.3125,0.375,
1422.703125,0.390625,
1423.125,0.421875,
1423.5,0.375,
1436.734375,0.421875,
1449.90625,0.390625,
1450.34375,0.4375,
1450.734375,0.390625,
1451.15625,0.421875,
1451.59375,0.4375,
1452,0.40625,
1452.40625,0.40625,
1452.765625,0.359375,
1453.140625,0.375,
1453.484375,0.34375,
1453.875,0.390625,
1454.1875,0.3125,
1456.890625,0.34375,
1457.359375,0.46875,
1457.734375,0.375,
1458.140625,0.40625,
1458.546875,0.40625,
1468.0625,0.4375,
1522.265625,0.46875,
1602.65625,0.546875,
1603.1875,0.53125,
1606.34375,0.53125,
1606.8125,0.46875,
1609.5625,0.484375,
1610,0.4375,
1616.40625,0.46875,
1616.96875,0.5625,
1628.65625,0.59375,
1629.078125,0.421875,
1634.328125,0.40625,
1650.796875,0.34375,
1653.203125,0.453125,
1653.6875,0.484375,
1654.140625,0.453125,
1654.59375,0.453125,
1655.046875,0.453125,
1655.5,0.453125,
1666.953125,0.390625,
1667.328125,0.375,
1688.1875,0.421875,
1742.3125,0.4375,
1742.78125,0.46875,
1743.21875,0.4375,
1743.6875,0.46875,
1744.125,0.4375,
1744.59375,0.46875,
1745.046875,0.453125,
1745.5,0.453125,
1745.9375,0.4375,
1746.40625,0.46875,
1762.90625,0.421875,
1763.34375,0.4375,
1763.796875,0.453125,
1764.234375,0.4375,
1764.703125,0.46875,
1765.09375,0.390625,
1775.359375,0.4375,
1775.8125,0.453125,
1776.328125,0.515625,
1776.8125,0.484375,
1787.046875,0.6875,
1787.578125,0.53125,
1788.0625,0.484375,
1806.796875,0.484375,
1807.3125,0.515625,
1807.828125,0.515625,
1808.296875,0.46875,
