,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-08-30 01:00:54.250,2.9273130000000003,2.25,1.7663484611438918,2.9273130000000003,,,1661821257.5,
2022-08-30 01:00:59.000,3.3537480000000004,1.5,1.1494477487382824,0.6699030000000001,0.75,2.0,1661821259.75,1.3398060000000003
2022-08-30 01:01:03.500,3.475482,1.25,1.2095152770511568,0.3559579999999998,0.25,1.375,1661821263.75,0.4894422499999997
2022-08-30 01:01:08.750,2.75176,2.125,0.3270525229749701,0.15312899999999985,0.25,2.0,1661821269.0,0.3062579999999997
2022-08-30 01:01:11.750,2.6582169999999996,1.875,0.13557561239619886,0.08585449999999994,0.375,1.5,1661821272.125,0.12878174999999992
2022-08-30 01:01:15.625,2.8869485,1.75,0.7255766181939016,0.33637000000000006,0.75,1.875,1661821276.375,0.63069375
2022-08-30 01:01:19.750,3.095177,1.625,0.730385268886991,0.3818600000000001,0.375,1.75,1661821280.125,0.6682550000000002
2022-08-30 01:01:26.375,2.5142715,1.125,0.17807212555782925,0.06663350000000001,0.375,1.375,1661821286.75,0.09162106250000002
2022-08-30 01:01:29.125,2.502739,1.375,0.29812634464065724,0.12814100000000028,0.625,1.75,1661821289.75,0.2242467500000005
2022-08-30 01:01:38.625,3.1528405,2.625,1.1847552709086813,0.9371375,0.75,2.25,1661821299.375,2.108559375
2022-08-30 01:01:42.750,3.1349009999999997,1.375,0.8483737402164202,0.4100509999999997,0.5,1.625,1661821303.25,0.6663328749999995
2022-08-30 01:01:50.000,3.160529,1.625,0.9752512093353616,0.6654789999999999,0.75,2.0,1661821310.75,1.3309579999999999
2022-08-30 01:01:55.625,3.0272625,1.375,0.7615262078351392,0.46045349999999985,0.875,2.0,1661821316.5,0.9209069999999997
2022-08-30 01:01:59.500,2.698794,1.25,0.5309665280667986,0.13967300000000016,0.125,1.25,1661821319.625,0.1745912500000002
2022-08-30 01:02:03.500,2.752613,1.5,0.519944311665931,0.3011300000000001,,,1661821324.5,
2022-08-30 01:02:05.500,2.98882,1.0,0.5691161591633858,0.09909599999999985,0.25,1.125,1661821325.75,0.11148299999999983
2022-08-30 01:02:17.875,2.764146,1.625,0.5091063758145964,0.3613570000000004,1.375,2.625,1661821339.25,0.9485621250000009
2022-08-30 01:02:21.125,3.4338355,1.375,1.2188640902827395,0.7042875,3.25,4.375,1661821344.375,3.0812578124999996
2022-08-30 01:02:31.750,3.45626,1.625,1.0712110765535492,0.7044999999999999,0.875,2.25,1661821352.625,1.5851249999999997
2022-08-30 01:02:49.250,2.954222,1.75,0.487367050501085,0.14479900000000034,0.875,2.125,1661821370.125,0.30769787500000073
2022-08-30 01:03:05.625,3.4703555,1.375,0.9777448215121787,0.5353545000000004,0.5,1.625,1661821386.125,0.8699510625000006
2022-08-30 01:03:09.625,3.2630415,1.375,0.8095131885466635,0.4651514999999997,0.625,1.75,1661821390.25,0.8140151249999995
2022-08-30 01:03:14.875,2.8075010000000002,1.625,0.185239405728705,0.12237500000000034,0.375,1.75,1661821395.25,0.2141562500000006
2022-08-30 01:03:21.875,2.473907,2.375,0.2725621870290027,0.25564100000000023,,,1661821402.5,
2022-08-30 01:03:31.875,3.4319135,1.5,1.4627927865118906,0.6940364999999997,0.5,1.625,1661821412.375,1.1278093124999995
2022-08-30 01:03:36.000,3.277137,1.375,0.6212166543979158,0.3152265000000001,0.75,1.875,1661821416.75,0.5910496875000002
2022-08-30 01:03:38.500,3.5587730000000004,1.25,0.6193785054199843,0.3085460000000002,0.375,1.5,1661821418.875,0.4628190000000003
2022-08-30 01:03:41.500,3.4331949999999996,1.125,0.8135968191225302,0.2780654999999994,0.625,1.625,1661821422.125,0.45185643749999904
2022-08-30 01:03:46.875,3.3646395,1.625,1.0673465358873244,0.8132074999999999,2.5,3.75,1661821429.375,3.0495281249999993
2022-08-30 01:03:54.625,3.0118855,1.125,1.0550621743352444,0.4027894999999999,0.375,1.375,1661821435.0,0.5538355624999999
2022-08-30 01:03:58.875,3.009963,1.0,0.5337162475244526,0.12878100000000003,0.375,1.375,1661821439.25,0.17707387500000005
2022-08-30 01:04:02.750,2.999071,1.625,0.9309464734285093,0.3991579999999999,0.5,1.625,1661821443.25,0.6486317499999998
2022-08-30 01:04:15.500,3.078519,2.125,0.33626931871425114,0.24539,0.25,1.75,1661821455.75,0.4294325
2022-08-30 01:04:39.000,3.236132,2.5,0.44707390213232756,0.5176889999999998,0.375,2.5,1661821479.375,1.2942224999999996
2022-08-30 01:04:45.875,3.1252905,2.125,1.0023265483893091,0.5708675000000003,0.75,2.0,1661821486.625,1.1417350000000006
2022-08-30 01:04:48.500,3.195127,1.0,1.1450397388685118,0.12045199999999978,0.25,1.25,1661821488.75,0.15056499999999973
2022-08-30 01:04:51.000,3.5023910000000003,1.125,0.8559571580824787,0.3014980000000005,0.25,1.25,1661821491.25,0.3768725000000006
2022-08-30 01:05:02.750,2.964473,1.375,0.5331405023970035,0.16978599999999977,0.25,1.5,1661821503.0,0.25467899999999966
2022-08-30 01:05:06.250,3.431914,1.25,1.304618406860758,0.6263349999999996,0.75,1.75,1661821507.0,1.0960862499999995
2022-08-30 01:05:16.500,2.710327,2.0,0.2874512399020439,0.2601260000000001,0.25,2.125,1661821516.75,0.5527677500000001
2022-08-30 01:05:24.875,2.4188064999999996,1.125,0.5620159695143521,0.07880649999999978,0.125,1.25,1661821525.0,0.09850812499999972
2022-08-30 01:05:35.750,3.051609,1.375,0.4082433553587208,0.20758799999999988,0.375,1.5,1661821536.125,0.3113819999999998
2022-08-30 01:05:40.875,3.2194735000000003,1.125,0.9731620654240309,0.3882665000000003,0.875,1.875,1661821541.75,0.7279996875000005
2022-08-30 01:05:44.500,3.222036,1.25,0.6783934884851099,0.3177889999999999,0.75,1.875,1661821545.25,0.5958543749999998
2022-08-30 01:05:48.750,3.031107,1.5,0.46590043191975994,0.24603100000000033,0.5,1.75,1661821549.25,0.4305542500000006
2022-08-30 01:05:51.125,3.357225,1.125,0.8856662269421314,0.30177200000000015,0.375,1.375,1661821551.5,0.4149365000000002
2022-08-30 01:05:56.000,3.073393,1.125,1.1011147569454458,0.1998994999999999,0.5,1.625,1661821556.5,0.32483668749999983
2022-08-30 01:06:01.500,2.847865,1.5,0.42884508572754854,0.25371900000000025,1.25,2.625,1661821562.75,0.6660123750000007
2022-08-30 01:06:04.750,3.3501769999999995,1.375,0.8990407177827535,0.5215329999999998,0.625,1.75,1661821565.375,0.9126827499999997
