TTO,IBI,TIME
37.015625,0.453125,1661648452
156.53125,0.46875,
157.0625,0.53125,
375.3125,0.5,
375.828125,0.515625,
411.875,0.515625,
479.53125,0.546875,
480.09375,0.5625,
480.640625,0.546875,
481.1875,0.546875,
481.71875,0.53125,
482.25,0.53125,
482.796875,0.546875,
483.34375,0.546875,
483.890625,0.546875,
484.390625,0.5,
526.171875,0.609375,
526.734375,0.5625,
527.3125,0.578125,
527.890625,0.578125,
594.875,0.59375,
595.546875,0.671875,
596.328125,0.78125,
597.0625,0.734375,
597.75,0.6875,
604.25,0.5625,
604.78125,0.53125,
605.34375,0.5625,
605.90625,0.5625,
606.5,0.59375,
607.0625,0.5625,
607.640625,0.578125,
615.609375,0.578125,
616.21875,0.609375,
636.109375,0.75,
636.8125,0.703125,
637.640625,0.828125,
650.625,0.65625,
651.265625,0.640625,
651.890625,0.625,
652.515625,0.625,
653.21875,0.703125,
653.84375,0.625,
654.515625,0.671875,
655.203125,0.6875,
655.78125,0.578125,
656.4375,0.65625,
666.640625,0.6875,
667.296875,0.65625,
667.9375,0.640625,
668.5625,0.625,
669.171875,0.609375,
669.828125,0.65625,
706.875,0.65625,
707.546875,0.671875,
708.15625,0.609375,
708.75,0.59375,
709.359375,0.609375,
715.90625,0.65625,
716.515625,0.609375,
717.1875,0.671875,
717.828125,0.640625,
718.4375,0.609375,
719.03125,0.59375,
719.6875,0.65625,
720.25,0.5625,
728.78125,0.671875,
729.421875,0.640625,
730.046875,0.625,
730.6875,0.640625,
731.296875,0.609375,
731.890625,0.59375,
732.5,0.609375,
733.078125,0.578125,
737.3125,0.625,
738.0625,0.75,
738.8125,0.75,
739.546875,0.734375,
740.21875,0.671875,
740.90625,0.6875,
741.59375,0.6875,
742.25,0.65625,
742.90625,0.65625,
743.53125,0.625,
744.140625,0.609375,
744.765625,0.625,
745.328125,0.5625,
745.984375,0.65625,
746.59375,0.609375,
747.1875,0.59375,
780.46875,0.609375,
781.140625,0.671875,
781.8125,0.671875,
782.484375,0.671875,
783.15625,0.671875,
790.625,1.09375,
836.296875,0.65625,
836.9375,0.640625,
837.546875,0.609375,
838.15625,0.609375,
838.796875,0.640625,
839.40625,0.609375,
840,0.59375,
884.96875,0.75,
885.65625,0.6875,
886.3125,0.65625,
929.59375,0.609375,
930.21875,0.625,
930.84375,0.625,
931.484375,0.640625,
932.125,0.640625,
932.765625,0.640625,
933.4375,0.671875,
934.078125,0.640625,
934.6875,0.609375,
935.34375,0.65625,
936.015625,0.671875,
941.234375,0.6875,
941.921875,0.6875,
942.609375,0.6875,
943.265625,0.65625,
943.984375,0.71875,
969.90625,0.65625,
970.5625,0.65625,
1049.46875,0.640625,
1050.09375,0.625,
1062.03125,0.6875,
1070.0625,0.640625,
1070.734375,0.671875,
1071.375,0.640625,
1072.015625,0.640625,
1072.703125,0.6875,
1089.625,0.609375,
1090.09375,0.46875,
1108.890625,0.640625,
1109.53125,0.640625,
1110.171875,0.640625,
1110.8125,0.640625,
1207.09375,0.515625,
1207.625,0.53125,
1263.734375,0.921875,
1433.40625,0.875,
1645.859375,0.828125,
1695.53125,0.484375,
1696.015625,0.484375,
1696.453125,0.4375,
1731.890625,0.5,
1828.375,0.640625,
2000.484375,0.484375,
2000.921875,0.4375,
2001.4375,0.515625,
2001.890625,0.453125,
2002.390625,0.5,
2002.859375,0.46875,
2003.375,0.515625,
2003.859375,0.484375,
2276.859375,0.546875,
2277.375,0.515625,
2277.921875,0.546875,
2278.453125,0.53125,
2278.96875,0.515625,
2279.5,0.53125,
2317.25,0.53125,
2317.796875,0.546875,
2318.328125,0.53125,
2318.859375,0.53125,
2319.40625,0.546875,
2319.9375,0.53125,
2320.53125,0.59375,
2321.0625,0.53125,
2324.953125,0.5625,
2325.5,0.546875,
2326.046875,0.546875,
2326.59375,0.546875,
2327.140625,0.546875,
2327.703125,0.5625,
2328.265625,0.5625,
2328.8125,0.546875,
2329.359375,0.546875,
2329.921875,0.5625,
2330.484375,0.5625,
2331.0625,0.578125,
2331.625,0.5625,
2332.1875,0.5625,
2332.71875,0.53125,
2333.328125,0.609375,
2342.765625,0.5625,
2343.375,0.609375,
2343.96875,0.59375,
2344.578125,0.609375,
2345.15625,0.578125,
2345.75,0.59375,
2346.34375,0.59375,
2352.390625,0.5625,
2353.03125,0.640625,
2371.21875,0.765625,
2371.828125,0.609375,
2372.421875,0.59375,
2373,0.578125,
2373.59375,0.59375,
2374.1875,0.59375,
2374.796875,0.609375,
2375.40625,0.609375,
2376,0.59375,
2376.578125,0.578125,
2377.171875,0.59375,
2377.765625,0.59375,
2378.359375,0.59375,
2378.96875,0.609375,
2379.578125,0.609375,
2380.1875,0.609375,
2380.78125,0.59375,
2381.390625,0.609375,
2382.015625,0.625,
2382.640625,0.625,
2383.265625,0.625,
2383.890625,0.625,
2384.484375,0.59375,
2385.078125,0.59375,
2385.6875,0.609375,
2386.328125,0.640625,
2386.9375,0.609375,
