TTO,IBI,TIME
16.1875,0.5,1661562053
16.71875,0.53125,
17.234375,0.515625,
17.765625,0.53125,
18.3125,0.546875,
18.859375,0.546875,
19.40625,0.546875,
20,0.59375,
20.65625,0.65625,
21.28125,0.625,
21.890625,0.609375,
22.484375,0.59375,
23.046875,0.5625,
46.671875,0.5,
47.21875,0.546875,
47.75,0.53125,
48.3125,0.5625,
48.84375,0.53125,
52.375,0.484375,
52.859375,0.484375,
53.328125,0.46875,
53.796875,0.46875,
54.25,0.453125,
54.734375,0.484375,
55.1875,0.453125,
55.65625,0.46875,
56.140625,0.484375,
56.609375,0.46875,
57.078125,0.46875,
57.5625,0.484375,
58.0625,0.5,
58.546875,0.484375,
59.046875,0.5,
59.5625,0.515625,
95.03125,0.5,
95.53125,0.5,
96.046875,0.515625,
96.578125,0.53125,
97.109375,0.53125,
97.625,0.515625,
100.1875,0.484375,
100.6875,0.5,
101.1875,0.5,
101.6875,0.5,
102.171875,0.484375,
102.671875,0.5,
103.1875,0.515625,
103.671875,0.484375,
104.15625,0.484375,
104.640625,0.484375,
105.15625,0.515625,
105.625,0.46875,
106.109375,0.484375,
106.609375,0.5,
119.46875,0.5,
122.875,0.453125,
128.046875,0.453125,
128.53125,0.484375,
128.984375,0.453125,
129.453125,0.46875,
129.90625,0.453125,
130.375,0.46875,
130.84375,0.46875,
131.3125,0.46875,
131.796875,0.484375,
132.296875,0.5,
135.9375,0.40625,
136.5,0.5625,
136.96875,0.46875,
137.453125,0.484375,
137.9375,0.484375,
138.421875,0.484375,
138.90625,0.484375,
139.390625,0.484375,
139.875,0.484375,
140.34375,0.46875,
143.734375,0.484375,
144.21875,0.484375,
144.6875,0.46875,
145.171875,0.484375,
145.65625,0.484375,
146.125,0.46875,
146.609375,0.484375,
147.09375,0.484375,
147.578125,0.484375,
148.03125,0.453125,
148.53125,0.5,
149,0.46875,
149.515625,0.515625,
150.015625,0.5,
150.5,0.484375,
151,0.5,
151.5,0.5,
152,0.5,
152.46875,0.46875,
153.015625,0.546875,
153.484375,0.46875,
153.984375,0.5,
154.484375,0.5,
157.421875,0.484375,
160.3125,0.46875,
160.78125,0.46875,
161.25,0.46875,
161.703125,0.453125,
162.15625,0.453125,
162.640625,0.484375,
163.09375,0.453125,
163.609375,0.515625,
164.09375,0.484375,
164.578125,0.484375,
165.0625,0.484375,
165.578125,0.515625,
166.09375,0.515625,
166.609375,0.515625,
167.09375,0.484375,
167.609375,0.515625,
168.125,0.515625,
168.640625,0.515625,
169.109375,0.46875,
173.15625,0.5,
173.640625,0.484375,
174.140625,0.5,
178.15625,0.46875,
178.671875,0.515625,
179.15625,0.484375,
179.640625,0.484375,
180.15625,0.515625,
180.640625,0.484375,
181.140625,0.5,
181.640625,0.5,
182.15625,0.515625,
184.6875,0.5,
185.171875,0.484375,
185.640625,0.46875,
186.140625,0.5,
186.609375,0.46875,
187.09375,0.484375,
187.546875,0.453125,
188,0.453125,
188.46875,0.46875,
188.9375,0.46875,
189.390625,0.453125,
189.890625,0.5,
190.359375,0.46875,
190.859375,0.5,
194.5,0.515625,
195.015625,0.515625,
195.5625,0.546875,
196.046875,0.484375,
196.578125,0.53125,
197.109375,0.53125,
197.640625,0.53125,
198.15625,0.515625,
198.703125,0.546875,
199.203125,0.5,
199.71875,0.515625,
200.234375,0.515625,
204.15625,0.46875,
204.625,0.46875,
205.109375,0.484375,
205.578125,0.46875,
206.0625,0.484375,
206.53125,0.46875,
211.28125,0.5,
217.484375,0.484375,
217.984375,0.5,
218.484375,0.5,
219,0.515625,
219.515625,0.515625,
220.046875,0.53125,
220.5625,0.515625,
221.109375,0.546875,
221.625,0.515625,
222.15625,0.53125,
222.640625,0.484375,
223.171875,0.53125,
223.640625,0.46875,
224.125,0.484375,
224.625,0.5,
225.109375,0.484375,
225.609375,0.5,
226.125,0.515625,
226.59375,0.46875,
227.046875,0.453125,
227.609375,0.5625,
232.921875,0.5,
233.421875,0.5,
233.921875,0.5,
234.40625,0.484375,
234.890625,0.484375,
235.375,0.484375,
235.875,0.5,
259.015625,0.515625,
259.53125,0.515625,
260.03125,0.5,
260.578125,0.546875,
261.078125,0.5,
261.59375,0.515625,
262.125,0.53125,
262.65625,0.53125,
263.1875,0.53125,
