TTO,IBI,TIME
393.578125,0.5625,1661994053
404.09375,0.640625,
404.765625,0.671875,
529,0.71875,
529.5625,0.5625,
565.96875,0.71875,
690.359375,0.4375,
690.8125,0.453125,
691.28125,0.46875,
691.78125,0.5,
692.25,0.46875,
692.640625,0.390625,
712.625,0.453125,
814.28125,0.421875,
814.734375,0.453125,
815.171875,0.4375,
815.59375,0.421875,
1034.8125,0.515625,
1238.078125,0.46875,
1238.578125,0.5,
1268.765625,0.5,
1269.265625,0.5,
1269.765625,0.5,
1270.25,0.484375,
1270.765625,0.515625,
1271.25,0.484375,
1281.15625,0.46875,
1281.671875,0.515625,
1282.15625,0.484375,
1282.65625,0.5,
1283.09375,0.4375,
1283.515625,0.421875,
1295.8125,0.515625,
1296.3125,0.5,
1296.8125,0.5,
1297.3125,0.5,
1297.8125,0.5,
1298.3125,0.5,
1298.78125,0.46875,
1305.421875,0.546875,
1309.25,0.53125,
1309.796875,0.546875,
1310.3125,0.515625,
1310.84375,0.53125,
1311.34375,0.5,
1311.890625,0.546875,
1312.375,0.484375,
1312.953125,0.578125,
1313.40625,0.453125,
1313.890625,0.484375,
1314.375,0.484375,
1314.875,0.5,
1315.375,0.5,
1315.890625,0.515625,
1316.40625,0.515625,
1339.875,0.53125,
1340.40625,0.53125,
1405.703125,0.484375,
1406.21875,0.515625,
1406.734375,0.515625,
1407.25,0.515625,
1407.71875,0.46875,
1408.25,0.53125,
1408.75,0.5,
1409.28125,0.53125,
1415.765625,0.515625,
1416.25,0.484375,
1416.765625,0.515625,
1417.28125,0.515625,
1417.796875,0.515625,
1418.3125,0.515625,
1418.8125,0.5,
1419.328125,0.515625,
1419.828125,0.5,
1420.328125,0.5,
1424.3125,0.484375,
1424.8125,0.5,
1425.296875,0.484375,
1699.359375,0.484375,
1699.859375,0.5,
1700.359375,0.5,
1700.859375,0.5,
1701.359375,0.5,
1701.84375,0.484375,
1702.34375,0.5,
1702.84375,0.5,
1703.34375,0.5,
1703.859375,0.515625,
1704.359375,0.5,
1704.859375,0.5,
1705.375,0.515625,
1705.875,0.5,
1706.390625,0.515625,
1706.890625,0.5,
1707.390625,0.5,
1707.890625,0.5,
1708.390625,0.5,
1708.90625,0.515625,
1709.40625,0.5,
1869.453125,0.796875,
1872.453125,0.515625,
1888.515625,0.453125,
1889.078125,0.5625,
1950,0.546875,
1950.546875,0.546875,
1951.0625,0.515625,
1957.15625,0.5625,
1957.703125,0.546875,
1958.25,0.546875,
1958.796875,0.546875,
1959.328125,0.53125,
1959.875,0.546875,
1967.484375,0.53125,
1975.296875,0.546875,
1975.84375,0.546875,
1976.40625,0.5625,
1976.953125,0.546875,
1977.5,0.546875,
1993.171875,0.53125,
1993.703125,0.53125,
1994.25,0.546875,
1994.796875,0.546875,
1995.359375,0.5625,
1995.921875,0.5625,
1996.46875,0.546875,
1997.03125,0.5625,
1997.609375,0.578125,
1998.1875,0.578125,
1998.765625,0.578125,
1999.34375,0.578125,
1999.9375,0.59375,
2000.515625,0.578125,
2001.078125,0.5625,
2001.640625,0.5625,
2002.21875,0.578125,
2002.8125,0.59375,
2010.09375,0.546875,
2010.625,0.53125,
2011.15625,0.53125,
2011.6875,0.53125,
2012.21875,0.53125,
2012.765625,0.546875,
2013.28125,0.515625,
2013.8125,0.53125,
2014.34375,0.53125,
2014.875,0.53125,
2033.640625,0.5625,
2034.203125,0.5625,
2034.765625,0.5625,
2035.3125,0.546875,
2042.75,0.578125,
2043.3125,0.5625,
2043.875,0.5625,
2044.453125,0.578125,
2045.03125,0.578125,
2045.578125,0.546875,
2046.15625,0.578125,
2046.703125,0.546875,
2058.671875,0.546875,
2059.234375,0.5625,
2059.78125,0.546875,
2060.328125,0.546875,
2060.875,0.546875,
2061.421875,0.546875,
2091.15625,0.53125,
2091.703125,0.546875,
2092.234375,0.53125,
2092.765625,0.53125,
2093.296875,0.53125,
2093.828125,0.53125,
2094.375,0.546875,
2094.921875,0.546875,
2095.46875,0.546875,
2096.015625,0.546875,
2096.5625,0.546875,
2097.125,0.5625,
2097.6875,0.5625,
2098.25,0.5625,
2098.8125,0.5625,
2099.375,0.5625,
2099.921875,0.546875,
2100.484375,0.5625,
2101.03125,0.546875,
2101.59375,0.5625,
2108.90625,0.5,
2109.421875,0.515625,
2109.9375,0.515625,
2110.4375,0.5,
2114.09375,0.515625,
2114.625,0.53125,
2115.15625,0.53125,
2115.671875,0.515625,
2116.203125,0.53125,
