,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-06-23 23:57:51.375,1.3562465000000001,1.375,2.3469018228410876,1.3562465000000001,2.5,3.75,1656028673.875,5.085924375
2022-06-23 23:58:03.125,1.649066,1.875,0.26393523959669984,0.19670799999999988,0.25,1.5,1656028683.375,0.2950619999999998
2022-06-23 23:58:44.000,0.585639,1.0,0.23506466832986472,0.028193000000000024,0.5,1.5,1656028724.5,0.042289500000000035
2022-06-23 23:58:52.000,0.8370770000000001,1.625,0.5010902095952448,0.25207900000000005,0.25,1.625,1656028732.25,0.4096283750000001
2022-06-23 23:59:15.625,0.8255435,1.25,0.06526168776177599,0.03203749999999994,,,1656028759.5,
2022-06-23 23:59:32.500,1.071658,2.375,0.3046600456065862,0.33069250000000006,0.875,2.375,1656028773.375,0.7853946875000002
2022-06-24 00:00:07.375,1.1953209999999999,1.75,0.07704243006921807,0.03524050000000001,0.125,1.375,1656028807.5,0.04845568750000001
2022-06-24 00:00:11.000,1.215184,1.625,0.11701940233449903,0.07304450000000018,0.375,1.625,1656028811.375,0.11869731250000029
2022-06-24 00:00:57.625,0.517987,1.375,0.11452148080234803,0.053822000000000036,0.625,1.875,1656028858.25,0.10091625000000007
2022-06-24 00:01:38.250,0.125586,4.0,0.013055406325996888,0.062793,0.5,3.25,1656028898.75,0.20407725000000002
2022-06-24 00:01:42.250,0.23323000000000002,2.75,0.11651924588598117,0.13327400000000003,2.5,3.875,1656028904.75,0.5164367500000001
2022-06-24 00:02:07.500,0.444675,2.0,0.06616405424221616,0.058948,0.75,2.625,1656028928.25,0.1547385
2022-06-24 00:02:56.000,0.334468,1.625,0.07731191889674216,0.025629999999999986,0.375,2.0,1656028976.375,0.05125999999999997
2022-06-24 00:03:04.875,0.288975,1.125,0.12278701191249919,0.03139599999999998,0.125,1.25,1656028985.0,0.039244999999999974
2022-06-24 00:03:10.750,0.399823,1.375,0.05773603768039903,0.021784499999999984,0.25,1.5,1656028991.0,0.03267674999999998
2022-06-24 00:06:12.500,2.194537,2.75,0.3045051659292177,0.2960229999999999,1.875,3.375,1656029174.375,0.9990776249999997
2022-06-24 00:06:44.500,3.743469,1.625,0.8796261686866131,0.45639499999999966,1.875,3.25,1656029206.375,1.483283749999999
2022-06-24 00:06:49.000,4.006776,1.625,1.0604840806487914,0.6317345000000003,1.0,2.125,1656029210.0,1.3424358125000007
