,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-09-01 01:09:00.500,3.8048029999999997,1.625,0.42530252417101977,0.29664599999999997,1.0,2.25,1661994541.5,0.6674534999999999
2022-09-01 01:09:07.375,4.132614500000001,1.25,0.26103028042495424,0.06727400000000117,0.25,1.375,1661994547.625,0.0925017500000016
2022-09-01 01:09:12.875,3.9807680000000003,2.125,0.2099873391786673,0.02178400000000069,0.125,1.875,1661994553.0,0.0408450000000013
2022-09-01 01:09:17.250,4.4079489999999995,2.0,0.6454908685852061,0.5527589999999991,1.875,3.5,1661994559.125,1.934656499999997
2022-09-01 01:09:56.500,4.409231,1.375,0.8325932165346899,0.4970189999999999,,,1661994599.5,
2022-09-01 01:10:00.500,4.637321,1.0,0.5128751553584721,0.14479799999999976,0.25,1.125,1661994600.75,0.16289774999999973
2022-09-01 01:10:05.000,4.545059999999999,1.375,0.145614764094411,0.0845729999999989,0.375,1.375,1661994605.375,0.11628787499999849
2022-09-01 01:10:14.500,5.0517650000000005,1.75,0.28045968808328325,0.15688000000000102,0.875,2.5,1661994615.375,0.39220000000000255
2022-09-01 01:10:18.875,5.309969000000001,2.75,0.3623778507840143,0.27870600000000056,1.0,2.375,1661994619.875,0.6619267500000013
2022-09-01 01:10:41.625,4.71924,2.25,0.15859622771989734,0.07240000000000002,0.25,2.375,1661994641.875,0.17195000000000005
2022-09-01 01:11:03.375,5.0325445,1.5,0.34204330047190723,0.09482449999999965,0.625,2.125,1661994664.0,0.20150206249999925
2022-09-01 01:11:11.125,4.9325945,1.875,0.3589666091480481,0.3619065000000008,1.125,2.625,1661994672.25,0.9500045625000021
2022-09-01 01:11:17.750,4.650685,1.375,0.25744154634296024,0.08777650000000037,0.5,1.625,1661994678.25,0.1426368125000006
2022-09-01 01:11:25.250,5.199127,1.375,0.47274702198843244,0.23770100000000038,0.25,1.375,1661994685.5,0.32683887500000053
2022-09-01 01:12:04.250,6.527433,1.875,0.5795147152556055,0.28149400000000036,2.0,3.25,1661994726.25,0.9148555000000012
2022-09-01 01:12:16.125,6.3313775,1.875,0.3382692118877273,0.09226150000000022,3.125,4.875,1661994739.25,0.44977481250000106
