,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-08-31 01:01:04.125,3.0074005,3.125,0.4425276539542331,3.0074005,,,1661907667.875,
2022-08-31 01:01:18.875,3.0951769999999996,1.625,0.23335017579785955,0.10251299999999963,,,1661907682.25,
2022-08-31 01:01:23.500,3.3142980000000004,1.25,0.4094990300607364,0.1537690000000005,1.875,3.0,1661907685.375,0.46130700000000147
2022-08-31 01:01:29.875,3.1489965,1.375,0.14603682723566536,0.05253849999999982,0.25,1.5,1661907690.125,0.07880774999999973
2022-08-31 01:01:36.500,3.461386,1.5,0.43201499777728003,0.28804300000000005,0.625,1.875,1661907697.125,0.5400806250000001
2022-08-31 01:01:42.000,3.424225,1.875,0.3044890587275617,0.22552749999999966,1.0,2.375,1661907703.0,0.5356278124999991
2022-08-31 01:01:52.500,3.366562,1.625,0.32572070856741675,0.19092999999999982,,,1661907714.125,
2022-08-31 01:01:55.500,3.4652300000000005,1.375,0.31910558408249656,0.10956000000000055,0.625,1.875,1661907716.125,0.20542500000000102
2022-08-31 01:02:01.250,3.388346,1.25,0.11611934219836328,0.04997499999999988,1.0,2.0,1661907722.25,0.09994999999999976
2022-08-31 01:02:08.500,3.8022410000000004,3.5,0.27147682364205394,0.40364400000000034,1.75,4.0,1661907730.25,1.6145760000000013
2022-08-31 01:02:12.125,4.0179285,1.375,0.5825299347144686,0.35536150000000033,2.125,3.25,1661907734.25,1.1549248750000012
2022-08-31 01:02:18.750,4.103783,1.5,0.694240876887644,0.3485429999999998,0.25,1.5,1661907739.0,0.5228144999999997
2022-08-31 01:02:24.625,3.7975260000000004,1.875,0.2510589893206223,0.14992500000000009,0.625,1.75,1661907745.25,0.26236875000000015
2022-08-31 01:02:31.750,3.7680540000000002,1.125,0.28383167994078207,0.10187200000000018,0.5,1.5,1661907752.25,0.15280800000000028
2022-08-31 01:02:33.625,3.9653910000000003,1.0,0.49885731759873053,0.08585500000000046,0.375,1.375,1661907754.0,0.11805062500000063
2022-08-31 01:02:42.000,4.071747,1.375,0.4748067645359946,0.22744950000000053,0.75,1.875,1661907762.75,0.426467812500001
2022-08-31 01:02:45.750,4.25627,1.5,0.6333534306291071,0.39851800000000015,1.0,2.25,1661907766.75,0.8966655000000003
2022-08-31 01:02:51.625,4.162087,2.0,0.05873763255998199,0.04805299999999946,0.375,1.875,1661907772.0,0.09009937499999898
2022-08-31 01:02:55.875,4.336999,1.0,0.36123144529992146,0.07111799999999935,0.25,1.25,1661907776.125,0.08889749999999919
2022-08-31 01:02:57.875,4.360704999999999,1.0,0.22572267727820616,0.030753499999999434,0.125,1.125,1661907778.0,0.03459768749999936
2022-08-31 01:02:59.875,4.461128,1.0,0.35731445956689356,0.04532250000000104,0.125,1.125,1661907780.0,0.05098781250000117
2022-08-31 01:03:06.000,4.583501999999999,1.25,0.825366626718953,0.3306029999999991,0.625,1.75,1661907786.625,0.5785552499999984
2022-08-31 01:03:10.375,4.361178000000001,1.75,0.23030432655238542,0.10571600000000103,0.375,2.0,1661907790.75,0.21143200000000206
2022-08-31 01:03:16.750,4.324658,1.875,0.18419836558098268,0.12621850000000112,0.75,2.375,1661907797.5,0.29976893750000266
2022-08-31 01:03:22.875,4.5553115,2.375,0.39714121613924647,0.36135750000000044,1.0,2.375,1661907803.875,0.858224062500001
2022-08-31 01:03:28.375,4.6475729999999995,1.5,0.5568882103173252,0.32035199999999975,2.0,3.25,1661907810.375,1.0411439999999992
2022-08-31 01:03:49.750,4.305437,1.625,0.10629955848115458,0.040364499999999914,0.375,1.5,1661907830.125,0.06054674999999987
2022-08-31 01:03:55.000,4.619382,1.375,0.4674609512271388,0.21591749999999976,0.375,1.625,1661907835.375,0.3508659374999996
2022-08-31 01:04:00.000,4.64501,1.5,0.6052315561038668,0.4023620000000001,0.875,2.0,1661907840.875,0.8047240000000002
2022-08-31 01:04:08.875,4.7077995,1.375,0.42815013728581164,0.2383424999999999,0.625,1.875,1661907849.5,0.4468921874999998
2022-08-31 01:04:15.750,4.543779,1.5,0.3872519163796895,0.23962399999999917,0.5,1.75,1661907856.25,0.41934199999999855
2022-08-31 01:04:21.375,4.285574500000001,1.5,0.19956838727470227,0.061507000000000644,0.25,1.625,1661907861.625,0.09994887500000105
2022-08-31 01:04:27.375,4.434858999999999,1.5,0.9495737745709576,0.5937649999999994,1.25,2.5,1661907868.625,1.4844124999999986
2022-08-31 01:04:36.250,3.933355,1.125,0.3900887481974955,0.1249365,0.625,1.75,1661907876.875,0.218638875
