TTO,IBI,TIME
438.96875,0.671875,1656028670
886.421875,0.578125,
889.9375,0.578125,
938.625,0.53125,
939.171875,0.546875,
977.921875,0.796875,
1035.5,0.6875,
1036.1875,0.6875,
1036.859375,0.671875,
1037.515625,0.65625,
1038.171875,0.65625,
1038.828125,0.65625,
1039.515625,0.6875,
1040.15625,0.640625,
1045,0.6875,
1045.65625,0.65625,
1046.296875,0.640625,
1046.953125,0.65625,
1047.625,0.671875,
1048.28125,0.65625,
1048.96875,0.6875,
1049.65625,0.6875,
1050.375,0.71875,
1051.078125,0.703125,
1051.78125,0.703125,
1052.5,0.71875,
1055.796875,0.65625,
1056.5,0.703125,
1057.125,0.625,
1057.765625,0.640625,
1058.421875,0.65625,
1058.984375,0.5625,
1059.6875,0.703125,
1060.34375,0.65625,
1060.96875,0.625,
1061.609375,0.640625,
1062.234375,0.625,
1062.875,0.640625,
1063.515625,0.640625,
1064.140625,0.625,
1064.796875,0.65625,
1065.453125,0.65625,
1066.125,0.671875,
1066.796875,0.671875,
1067.46875,0.671875,
1068.15625,0.6875,
1068.78125,0.625,
1069.4375,0.65625,
1070.109375,0.671875,
1070.734375,0.625,
1071.4375,0.703125,
1071.96875,0.53125,
1072.75,0.78125,
1073.484375,0.734375,
1074.0625,0.578125,
1083.046875,0.71875,
1083.796875,0.75,
1084.5,0.703125,
1085.1875,0.6875,
1085.890625,0.703125,
1086.65625,0.765625,
1087.359375,0.703125,
1091.15625,0.78125,
1091.9375,0.78125,
1092.765625,0.828125,
1093.46875,0.703125,
1094.265625,0.796875,
1094.984375,0.71875,
1095.6875,0.703125,
1096.390625,0.703125,
1097.109375,0.71875,
1097.8125,0.703125,
1098.5,0.6875,
1099.1875,0.6875,
1099.90625,0.71875,
1100.5625,0.65625,
1101.28125,0.71875,
1106.15625,0.703125,
1123.546875,0.546875,
1264.265625,0.40625,
1270.46875,0.640625,
1271.140625,0.671875,
1271.828125,0.6875,
1272.515625,0.6875,
1310.4375,0.671875,
1310.953125,0.515625,
1349.59375,0.765625,
1350.34375,0.75,
1351.015625,0.671875,
1362.046875,0.734375,
1362.8125,0.765625,
1363.453125,0.640625,
1364.234375,0.78125,
1367.609375,0.703125,
1368.328125,0.71875,
1368.953125,0.625,
1369.59375,0.640625,
1370.390625,0.796875,
1371.09375,0.703125,
1378.75,0.75,
1390.859375,0.65625,
1391.546875,0.6875,
1392.125,0.578125,
1392.78125,0.65625,
1393.5,0.71875,
1394.15625,0.65625,
1394.828125,0.671875,
1395.515625,0.6875,
1459.96875,0.75,
1460.65625,0.6875,
1469.8125,0.59375,
1470.4375,0.625,
1473.59375,0.65625,
1474.171875,0.578125,
1474.921875,0.75,
1479.6875,0.671875,
1480.375,0.6875,
1481.03125,0.65625,
